state_code,democratic_votes,republican_votes,other_votes,year,election
DC,"265,178",,"35,728","2,016",House
FL,"3,985,050","4,733,630","118,746","2,016",House
GA,"1,498,437","2,272,460","1,965","2,016",House
GU,"18,345","15,617",206,"2,016",House
HI,"460,805","129,716","20,743","2,016",House
ID,"208,992","447,544","25,058","2,016",House
IL,"2,810,536","2,397,436","33,795","2,016",House
IN,"1,052,901","1,442,989","162,477","2,016",House
IA,"673,969","813,153","28,433","2,016",House
KS,"317,635","694,240","161,861","2,016",House
KY,"597,717","1,457,950",332,"2,016",House
LA,"610,643","1,424,567","41,428","2,016",House
ME,"386,627","357,447",500,"2,016",House
MD,"1,636,200","962,088","109,457","2,016",House
MA,"2,344,518","451,121","145,049","2,016",House
MI,"2,193,980","2,243,402","233,523","2,016",House
MN,"1,434,590","1,334,686","91,156","2,016",House
MS,"449,896","680,810","51,567","2,016",House
MO,"1,041,306","1,600,524","108,249","2,016",House
MT,"205,919","285,358","16,554","2,016",House
NE,"221,069","557,557","9,640","2,016",House
NV,"508,113","498,104","72,280","2,016",House
NH,"336,575","316,149","76,216","2,016",House
NJ,"1,821,620","1,541,631","87,897","2,016",House
NM,"436,932","343,124",70,"2,016",House
NY,"4,202,198","2,140,911","773,313","2,016",House
NC,"2,142,661","2,447,326","8,471","2,016",House
ND,"80,377","233,980","24,102","2,016",House
MP,,,"10,605","2,016",House
OH,"2,154,523","2,996,017","67,815","2,016",House
OK,"305,222","781,691","46,331","2,016",House
OR,"1,026,851","809,048","75,966","2,016",House
PA,"2,905,596","3,126,237","40,832","2,016",House
PR,,,"1,478,816","2,016",House
RI,"263,648","141,324","26,553","2,016",House
SC,"778,125","1,193,711","67,626","2,016",House
SD,"132,810","237,163",,"2,016",House
TN,"814,181","1,493,740","83,140","2,016",House
TX,"3,160,535","4,877,605","490,386","2,016",House
UT,"356,290","710,656","47,224","2,016",House
VT,"264,414",,"30,920","2,016",House
VI,"14,531",,371,"2,016",House
VA,"1,859,426","1,843,010","79,812","2,016",House
WA,"1,736,145","1,404,890",,"2,016",House
WV,"224,449","445,017","16,883","2,016",House
WI,"1,379,996","1,270,279","123,387","2,016",House
WY,"75,466","156,176","20,134","2,016",House
AL,"693,498","1,233,624","6,508","2,012",House
AK,"82,927","185,296","21,581","2,012",House
AS,"7,659",,"5,417","2,012",House
AZ,"946,994","1,131,663","94,660","2,012",House
AR,"304,770","637,591","95,693","2,012",House
CA,"7,392,703","4,530,012","281,642","2,012",House
CO,"1,080,454","1,143,796","226,589","2,012",House
CT,"884,398","490,580","91,533","2,012",House
DE,"249,933","129,757","8,369","2,012",House
DC,"246,664",,"31,899","2,012",House
FL,"3,392,402","3,826,522","294,610","2,012",House
GA,"1,448,869","2,104,098",620,"2,012",House
GU,"19,765","12,995",246,"2,012",House
HI,"285,008","137,531",,"2,012",House
ID,"208,297","406,814","20,107","2,012",House
IL,"2,743,702","2,207,818","106,613","2,012",House
IN,"1,142,554","1,351,760","59,432","2,012",House
IA,"772,387","726,505","37,957","2,012",House
KS,"195,505","740,981","121,253","2,012",House
KY,"791,342","1,201,674","43,038","2,012",House
LA,"359,190","1,239,614","203,400","2,012",House
ME,"427,819","265,982",,"2,012",House
MD,"1,626,872","858,406","100,236","2,012",House
MA,"2,080,594","697,637","113,203","2,012",House
MI,"2,487,243","2,238,540","177,986","2,012",House
MN,"1,560,984","1,210,409","41,990","2,012",House
MS,"411,398","703,635","93,142","2,012",House
MO,"1,119,554","1,463,586","92,760","2,012",House
MT,"204,939","255,468","19,333","2,012",House
NE,"276,239","496,276",,"2,012",House
NV,"453,310","457,239","63,193","2,012",House
NH,"340,925","311,636","29,855","2,012",House
NJ,"1,960,820","1,430,386","61,661","2,012",House
NM,"422,189","323,269",632,"2,012",House
NY,"3,904,513","1,949,229","615,983","2,012",House
NC,"2,218,357","2,137,167","28,588","2,012",House
ND,"131,869","173,433","10,769","2,012",House
MP,,"2,503","9,829","2,012",House
OH,"2,412,451","2,620,251","107,613","2,012",House
OK,"410,324","856,872","58,739","2,012",House
OR,"949,660","687,839","70,669","2,012",House
PA,"2,793,538","2,710,070","56,987","2,012",House
PR,,,"1,856,345","2,012",House
RI,"232,679","161,926","33,170","2,012",House
SC,"714,191","1,026,129","62,414","2,012",House
SD,"153,789","207,640",,"2,012",House
TN,"796,513","1,369,562","117,652","2,012",House
TX,"2,949,900","4,429,270","285,038","2,012",House
UT,"324,309","647,873","26,715","2,012",House
VT,"208,600","67,543","13,788","2,012",House
VI,"11,512","2,131","5,527","2,012",House
VA,"1,806,025","1,876,761","57,669","2,012",House
WA,"1,852,870","1,511,131",,"2,012",House
WV,"257,101","384,253",,"2,012",House
WI,"1,445,015","1,401,995","19,040","2,012",House
WY,"57,573","166,452","17,596","2,012",House
AL,,,,"2,012",Senate
AK,,,,"2,012",Senate
AS,,,,"2,012",Senate
AZ,"1,036,542","1,104,457","102,423","2,012",Senate
AR,,,,"2,012",Senate
CA,"7,864,624","4,713,887",,"2,012",Senate
CO,,,,"2,012",Senate
CT,"792,983","604,569","114,212","2,012",Senate
DE,"265,415","115,700","18,492","2,012",Senate
DC,,,,"2,012",Senate
FL,"4,523,451","3,458,267","208,228","2,012",Senate
GA,,,,"2,012",Senate
GU,,,,"2,012",Senate
HI,"269,489","160,994",,"2,012",Senate
ID,,,,"2,012",Senate
IL,,,,"2,012",Senate
IN,"1,281,181","1,133,621","145,300","2,012",Senate
IA,,,,"2,012",Senate
KS,,,,"2,012",Senate
KY,,,,"2,012",Senate
LA,,,,"2,012",Senate
ME,"92,900","215,399","392,300","2,012",Senate
MD,"1,474,028","693,291","465,896","2,012",Senate
MA,"1,696,346","1,458,048","2,159","2,012",Senate
MI,"2,735,826","1,767,386","149,706","2,012",Senate
MN,"1,854,595","867,974","120,638","2,012",Senate
MS,"503,467","709,626","28,475","2,012",Senate
MO,"1,494,125","1,066,159","165,509","2,012",Senate
MT,"236,123","218,051","31,892","2,012",Senate
NE,"332,979","455,593",,"2,012",Senate
NV,"446,080","457,656","94,069","2,012",Senate
NH,,,,"2,012",Senate
NJ,"1,985,783","1,329,405","59,480","2,012",Senate
NM,"395,717","351,260","28,816","2,012",Senate
NY,"4,432,525","1,517,578","729,575","2,012",Senate
NC,,,,"2,012",Senate
ND,"161,163","158,282","1,406","2,012",Senate
MP,,,,"2,012",Senate
OH,"2,762,766","2,435,744","250,617","2,012",Senate
OK,,,,"2,012",Senate
OR,,,,"2,012",Senate
PA,"3,021,364","2,509,132","98,995","2,012",Senate
PR,,,,"2,012",Senate
RI,"271,034","146,222",933,"2,012",Senate
SC,,,,"2,012",Senate
SD,,,,"2,012",Senate
TN,"705,882","1,506,443","109,152","2,012",Senate
TX,"3,194,927","4,440,137","229,758","2,012",Senate
UT,"301,873","657,608","47,420","2,012",Senate
VT,0,"72,898","219,864","2,012",Senate
VI,,,,"2,012",Senate
VA,"2,010,067","1,785,542","6,587","2,012",Senate
WA,"1,855,493","1,213,924",,"2,012",Senate
WV,"399,898","240,787","19,517","2,012",Senate
WI,"1,547,104","1,380,126","82,181","2,012",Senate
WY,"53,019","185,250","6,593","2,012",Senate
AL,"795,696","1,255,925","22,717","2,012",President
AK,"122,640","164,676","13,179","2,012",President
AZ,"1,025,232","1,233,654","40,368","2,012",President
AR,"394,409","647,744","27,315","2,012",President
CA,"7,854,285","4,839,958","344,304","2,012",President
CO,"1,323,102","1,185,243","61,177","2,012",President
CT,"905,083","634,892","18,985","2,012",President
DE,"242,584","165,484","5,853","2,012",President
DC,"267,070","21,381","5,313","2,012",President
FL,"4,237,756","4,163,447","72,976","2,012",President
GA,"1,773,827","2,078,688","47,535","2,012",President
HI,"306,658","121,015","7,024","2,012",President
ID,"212,787","420,911","18,576","2,012",President
IL,"3,019,512","2,135,216","87,286","2,012",President
IN,"1,152,887","1,420,543","51,104","2,012",President
IA,"822,544","730,617","29,019","2,012",President
KS,"440,726","692,634","26,611","2,012",President
KY,"679,370","1,087,190","30,652","2,012",President
LA,"809,141","1,152,262","32,662","2,012",President
ME,"401,306","292,276","19,598","2,012",President
MD,"1,677,844","971,869","57,614","2,012",President
MA,"1,921,290","1,188,314","58,163","2,012",President
MI,"2,564,569","2,115,256","51,136","2,012",President
MN,"1,546,167","1,320,225","70,169","2,012",President
MS,"562,949","710,746","11,889","2,012",President
MO,"1,223,796","1,482,440","51,087","2,012",President
MT,"201,839","267,928","14,281","2,012",President
NE,"302,081","475,064","17,234","2,012",President
NV,"531,373","463,567","19,978","2,012",President
NH,"369,561","329,918","11,493","2,012",President
NJ,"2,125,101","1,477,568","37,623","2,012",President
NM,"415,335","335,788","32,635","2,012",President
NY,"4,485,741","2,490,431","104,987","2,012",President
NC,"2,178,391","2,270,395","56,586","2,012",President
ND,"124,827","188,163","9,637","2,012",President
OH,"2,827,709","2,661,437","91,701","2,012",President
OK,"443,547","891,325",0,"2,012",President
OR,"970,488","754,175","64,607","2,012",President
PA,"2,990,274","2,680,434","82,962","2,012",President
RI,"279,677","157,204","9,168","2,012",President
SC,"865,941","1,071,645","26,532","2,012",President
SD,"145,039","210,610","8,166","2,012",President
TN,"960,709","1,462,330","35,538","2,012",President
TX,"3,308,124","4,569,843","115,884","2,012",President
UT,"251,813","740,600","25,027","2,012",President
VT,"199,239","92,698","7,353","2,012",President
VA,"1,971,820","1,822,522","60,147","2,012",President
WA,"1,755,396","1,290,670","79,450","2,012",President
WV,"238,269","417,655","14,514","2,012",President
WI,"1,620,985","1,407,966","39,483","2,012",President
WY,"69,286","170,962","8,813","2,012",President
AL,"678,687","975,737","5,471","2,018",House
AK,"131,199","149,779","1,188","2,018",House
AS,637,"7,194",807,"2,018",House
AZ,"1,179,193","1,139,251","22,826","2,018",House
AR,"312,978","556,339","19,981","2,018",House
CA,"8,010,445","3,973,396","200,681","2,018",House
CO,"1,343,211","1,079,772","90,923","2,018",House
CT,"808,652","512,495","58,661","2,018",House
DE,"227,353","125,384","1,077","2,018",House
DC,"199,124","9,700","19,945","2,018",House
FL,"3,307,228","3,675,417","38,831","2,018",House
GA,"1,814,469","1,987,191",683,"2,018",House
GU,"19,193","15,398",399,"2,018",House
HI,"287,921","87,348","7,063","2,018",House
ID,"207,303","367,993","20,428","2,018",House
IL,"2,757,540","1,754,449","27,715","2,018",House
IN,"1,000,104","1,247,978","8,067","2,018",House
IA,"664,676","612,338","39,634","2,018",House
KS,"464,380","563,190","22,752","2,018",House
KY,"612,977","935,304","21,517","2,018",House
LA,"553,184","835,715","71,694","2,018",House
ME,"333,208","245,372","53,097","2,018",House
MD,"1,493,047","737,906","55,331","2,018",House
MA,"1,943,597","497,953","43,531","2,018",House
MI,"2,344,333","1,853,459","151,904","2,018",House
MN,"1,420,769","1,125,533","30,694","2,018",House
MS,"398,770","471,162","68,971","2,018",House
MO,"1,027,969","1,330,975","59,469","2,018",House
MT,"233,284","256,661","14,476","2,018",House
NE,"264,493","432,077",,"2,018",House
NV,"491,272","439,727","29,775","2,018",House
NH,"311,242","248,986","10,516","2,018",House
NJ,"1,856,819","1,198,664","43,260","2,018",House
NM,"404,026","264,701","24,584","2,018",House
NY,"3,899,563","1,726,318","578,502","2,018",House
NC,"1,771,061","1,846,041","46,224","2,018",House
ND,"114,377","193,568","13,587","2,018",House
MP,,"5,199","9,150","2,018",House
OH,"2,084,854","2,295,373","32,341","2,018",House
OK,"428,452","730,531","19,853","2,018",House
OR,"1,061,412","702,531","83,703","2,018",House
PA,"3,016,286","2,488,357","37,724","2,018",House
RI,"242,575","129,838",867,"2,018",House
SC,"758,340","927,494","23,458","2,018",House
SD,"121,033","202,695","12,237","2,018",House
TN,"846,450","1,279,655","33,720","2,018",House
TX,"3,852,752","4,135,359","214,597","2,018",House
UT,"374,009","617,307","61,190","2,018",House
VT,"188,547","70,705","13,199","2,018",House
VI,"16,341",,264,"2,018",House
VA,"1,867,061","1,408,701","37,449","2,018",House
WA,"1,888,593","899,744","233,614","2,018",House
WV,"234,568","337,146","6,277","2,018",House
WI,"1,367,492","1,121,043","83,120","2,018",House
WY,"59,903","127,963","13,379","2,018",House
AL,,,,"2,018",Senate
AK,,,,"2,018",Senate
AS,,,,"2,018",Senate
AZ,"1,191,100","1,135,200","58,008","2,018",Senate
AR,,,,"2,018",Senate
CA,"11,113,364",,,"2,018",Senate
CO,,,,"2,018",Senate
CT,"787,685","545,717","53,438","2,018",Senate
DE,"217,385","137,127","8,094","2,018",Senate
DC,,,,"2,018",Senate
FL,"4,089,472","4,099,505","1,028","2,018",Senate
GA,,,,"2,018",Senate
GU,,,,"2,018",Senate
HI,"276,316","112,035",,"2,018",Senate
ID,,,,"2,018",Senate
IL,,,,"2,018",Senate
IN,"1,023,553","1,158,000","101,012","2,018",Senate
IA,,,,"2,018",Senate
KS,,,,"2,018",Senate
KY,,,,"2,018",Senate
LA,,,,"2,018",Senate
ME,"66,268","223,502","344,639","2,018",Senate
MD,"1,491,614","697,017","111,258","2,018",Senate
MA,"1,633,371","979,210","94,509","2,018",Senate
MI,"2,214,478","1,938,818","83,975","2,018",Senate
MN,"2,936,714","2,036,214","211,307","2,018",Senate
MS,"369,567","547,619","1,872,084","2,018",Senate
MO,"1,112,935","1,254,927","74,427","2,018",Senate
MT,"253,876","235,963","14,545","2,018",Senate
NE,"269,917","403,151","25,815","2,018",Senate
NV,"490,071","441,202","40,859","2,018",Senate
NH,,,,"2,018",Senate
NJ,"1,711,654","1,357,355","100,301","2,018",Senate
NM,"376,998","212,813","107,201","2,018",Senate
NY,"3,755,489","1,730,439","573,095","2,018",Senate
NC,,,,"2,018",Senate
ND,"144,376","179,720","2,042","2,018",Senate
MP,,,,"2,018",Senate
OH,"2,358,508","2,057,559","1,017","2,018",Senate
OK,,,,"2,018",Senate
OR,,,,"2,018",Senate
PA,"2,792,437","2,134,848","83,683","2,018",Senate
RI,"231,477","144,421",840,"2,018",Senate
SC,,,,"2,018",Senate
SD,,,,"2,018",Senate
TN,"985,450","1,227,483","30,807","2,018",Senate
TX,"4,045,632","4,260,553","65,470","2,018",Senate
UT,"328,541","665,215","69,141","2,018",Senate
VT,,"74,815","197,809","2,018",Senate
VI,,,,"2,018",Senate
VA,"1,910,370","1,374,313","67,074","2,018",Senate
WA,"1,803,364","1,282,804",,"2,018",Senate
WV,"290,510","271,113","24,411","2,018",Senate
WI,"1,472,914","1,184,885","2,964","2,018",Senate
WY,"61,227","136,210","5,983","2,018",Senate
